,id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
46,929816,Condo in Dublin · ★4.96 · 1 bedroom · 1 bed · 1 private bath,4985632,Ashton,D02,Dublin City,53.34434,-6.23888,Private room,79,2,161,2020-02-17,1.29,2,0,0,
47,939866,Condo in Dublin · ★4.94 · 2 bedrooms · 2 beds · 2 baths,4985632,Ashton,D02,Dublin City,53.34408,-6.23923,Entire home/apt,223,3,175,2023-01-04,1.4,2,0,19,
48,946899,Rental unit in Dublin · 1 bedroom · 1 bed · 2 baths,3846772,Sag,D01,Dublin City,53.35129,-6.24157,Entire home/apt,115,7,2,2023-05-01,1.09,19,1,2,
49,946923,Serviced apartment in Dublin · ★4.47 · 1 bedroom · 1 bed · 1 bath,3846772,Sag,D02,Dublin City,53.34383,-6.23912,Entire home/apt,60,7,15,2023-03-02,0.15,19,0,4,
50,990212,Home in Dublin · ★4.79 · 4 bedrooms · 5 beds · 1.5 baths,5437323,Aoife,D08,Dublin City,53.33771,-6.31474,Entire home/apt,205,5,38,2022-08-28,0.39,1,44,5,
51,990300,Townhouse in Rathmines · ★4.90 · 2 bedrooms · 2 beds · 1 private bath,5438017,Melanie,D06,Dublin City,53.3133,-6.25374,Private room,65,1,204,2018-02-25,1.64,1,0,0,
52,998407,Rental unit in Donaghmede · ★4.31 · Studio · 1 bed · 1 bath,1245198,Amanda,D13,Dublin City,53.39622,-6.1756,Entire home/apt,69,1,283,2023-06-04,2.71,3,34,40,
53,999963,Home in Dublin · ★4.90 · 3 bedrooms · 8 beds · 2.5 baths,5497230,Sarah And Johnny,D07,Dublin City,53.36193,-6.27423,Entire home/apt,450,7,10,2017-08-16,0.09,1,13,0,
54,1073487,Home in Clonskeagh · ★4.92 · 1 bedroom · 1 bed · 1 shared bath,5905039,Jane,D14,Dn Laoghaire-Rathdown,53.30443,-6.24083,Private room,91,3,85,2023-05-16,0.69,1,336,22,
55,1076634,Townhouse in Dublin · ★4.64 · 1 bedroom · 1 bed · 1.5 shared baths,823405,Declan,D12,Dublin City,53.31546,-6.3119,Private room,85,5,50,2019-05-11,0.42,1,313,0,
56,1086416,Rental unit in Dublin · ★4.87 · 1 bedroom · 1 bed · 1 bath,5971713,Eileen,D07,Dublin City,53.35846,-6.27528,Entire home/apt,129,3,257,2023-05-21,2.1,1,5,26,
57,1173029,Home in Dublin · ★4.83 · 2 bedrooms · 2 beds · 2 baths,3448346,Ian,D07,Dublin City,53.35107,-6.27992,Entire home/apt,281,3,371,2023-06-07,3.81,1,36,60,
58,1184087,Home in Dublin · ★4.89 · 5 bedrooms · 5 beds · 4 baths,6476854,Therese,D10,Dublin City,53.34567,-6.34929,Entire home/apt,834,5,18,2022-08-14,0.15,5,9,1,
59,1207950,Home in Ballinteer · ★4.94 · 4 bedrooms · 4 beds · 3 baths,6593571,Dave & Ann,D16,Dn Laoghaire-Rathdown,53.28341,-6.24498,Entire home/apt,340,5,78,2023-05-31,0.65,1,15,13,
60,1255270,Home in Lucan · ★4.92 · 1 bedroom · 1 private bath,6837751,Siobhan,K78,South Dublin,53.33893,-6.43476,Private room,41,30,13,2023-05-13,0.11,1,60,3,
61,1270261,Home in Dublin · ★4.91 · 1 bedroom · 6 beds · 2 baths,474328,James,K32,Fingal,53.56548,-6.31617,Private room,50,1,11,2023-05-27,0.1,1,317,2,
62,1276002,Townhouse in Dublin · ★4.85 · 3 bedrooms · 3 beds · 1.5 baths,6938108,Caroline,D03,Dublin City,53.35176,-6.23248,Entire home/apt,500,3,74,2023-05-29,0.64,1,341,9,
63,1296492,Rental unit in Dublin · ★4.54 · 1 bedroom · 1 bed · 1 bath,4580868,Brendan And Fernanda,D04,Dublin City,53.33986,-6.22244,Private room,48,2,54,2017-12-20,0.46,1,0,0,
64,1364560,Home in Dublin · ★4.73 · 1 bedroom · 1 bed · 1 shared bath,6977448,Stephen J,D08,Dublin City,53.33677,-6.28899,Private room,90,3,148,2023-05-29,1.24,1,0,13,
65,1407832,Home in Blackrock · ★4.94 · 4 bedrooms · 5 beds · 3 baths,5818278,Therese,A94,Dn Laoghaire-Rathdown,53.29832,-6.17191,Entire home/apt,160,5,63,2022-08-15,0.53,1,4,3,
66,1421993,Home in Dublin · ★4.76 · 1 bedroom · 1 bed · 1.5 shared baths,4435361,Georgia & Gar,D01,Dublin City,53.34668,-6.24758,Private room,300,3,56,2017-04-23,0.47,1,0,0,
67,1447994,Rental unit in Dublin · ★5.0 · 1 bedroom · 1 bed · 1 bath,2401732,Maximilian,D04,Dublin City,53.33993,-6.23329,Private room,75,3,3,2015-02-14,0.03,1,0,0,
68,1466234,Home in Dublin · ★4.73 · 1 bedroom · 1 bed · 1.5 shared baths,5940448,Elva,D12,Dublin City,53.32894,-6.30413,Private room,40,4,166,2023-05-29,1.39,1,189,33,
69,1510400,Home in Drimnagh · ★5.0 · 2 bedrooms · 2 beds · 1.5 baths,8066896,Ken,D12,Dublin City,53.32956,-6.32588,Entire home/apt,94,100,9,2014-12-30,0.08,1,37,0,
70,1518845,Home in Dollymount · ★4.84 · 1 bedroom · 1 bed · 1.5 shared baths,8107028,Shay,D03,Dublin City,53.3642,-6.18274,Private room,800,5,58,2017-11-01,0.49,2,0,0,
71,1520036,Rental unit in Dublin · ★4.56 · 2 bedrooms · 2 beds · 2 baths,6973475,Brendan,D07,Dublin City,53.34484,-6.27976,Entire home/apt,350,7,51,2022-08-28,0.43,1,31,1,
72,1559929,Home in Dublin · ★4.92 · 1 bedroom · 1 bed · 1 bath,3745350,Natasha,D02,Dublin City,53.33514,-6.26772,Private room,85,2,66,2023-05-08,0.56,2,54,6,
73,1600779,Townhouse in Dublin · ★4.91 · 1 bedroom · 1 bed · 1 shared bath,3745350,Natasha,D08,Dublin City,53.33511,-6.26875,Private room,110,2,75,2023-05-09,0.66,2,0,2,
74,1717912,Home in Dublin · ★4.83 · 2 bedrooms · 1 bed · 1 shared bath,5429761,Bob,D08,Dublin City,53.33851,-6.27289,Private room,55,2,309,2020-03-01,3.14,4,0,0,
75,1729959,Home in Dundrum · ★4.80 · 3 bedrooms · 5 beds · 1.5 baths,9115187,Kim,D14,Dn Laoghaire-Rathdown,53.3065,-6.24719,Entire home/apt,260,2,5,2023-04-10,0.05,1,72,2,
76,1789253,Rental unit in Dublin · 1 bedroom · 1 bed · 1 bath,8768901,Carolina,D08,Dublin City,53.34438,-6.27426,Entire home/apt,170,2,0,,,1,0,0,
77,1797712,Home in Clontarf · ★4.92 · 1 bedroom · 2 beds · 1 private bath,6325886,Jacinta,D03,Dublin City,53.36275,-6.21449,Private room,71,2,106,2023-06-01,0.96,2,16,42,
78,1896821,Home in Dublin · ★4.53 · 2 bedrooms · 2 beds · 2 baths,3826057,Eleanor,D08,Dublin City,53.33951,-6.29259,Entire home/apt,150,2,18,2018-11-25,0.16,1,0,0,
79,1906221,Condo in Dolphins Barn · ★4.89 · 1 bedroom · 1 bed · 1 private bath,9084049,Jose&Vadym,D08,Dublin City,53.33688,-6.29419,Private room,85,2,538,2023-06-03,4.64,3,102,40,
